"chr","phenotype","gene","SKAT","BT","SKAT.O","SKAT.d","BT.d"
3,"log_TRIG","MAP3K13",5.20764662058637e-05,0.208127688998325,0.000134734388255842,4.1776131782469e-05,0.180330354924948
20,"log_TRIG","TMX4",0.000100637357593247,0.171014591410735,0.000207333792970554,8.82428823604081e-05,0.19443044269734
17,"log_TRIG","PITPNA",0.000149241691438151,0.00226193974919399,0.000240508959045038,0.000119290892872739,0.247431632240598
6,"log_TRIG","TMEM200A",0.000394302130461543,0.0182679259922904,0.000533900654694164,0.000218395577274398,0.00715762653433575
2,"log_TRIG","TMEM177",0.000236777686515977,1.6323030903799e-05,3.48146230726432e-05,0.000225424288150931,NA
20,"log_TRIG","CEBPB",0.000396643272307706,0.0103625589899701,0.00057551174387549,0.00033333063195798,NA
10,"log_TRIG","HECTD2",0.000346843497526561,0.00918920123346002,0.000662013903613756,0.000361992926641494,0.738601244793693
5,"log_TRIG","NNT",0.00046055749503382,0.045316297795363,0.000657117364337489,0.000500226529988228,0.624702118125264
3,"log_TRIG","CASR",0.000931756706021858,0.851876942398276,0.00189928010838614,0.000620285749918091,0.000806930207858635
19,"log_TRIG","ABHD8",0.000939407427187788,0.000475350765928815,0.000462359882364871,0.000636262619022422,0.0112725030093043
9,"log_TRIG","ABL1",0.000541150785402733,0.00619723223783901,0.000765436471574565,0.00065961123285514,0.999233174373113
19,"log_TRIG","LIPE",0.000736028846369696,0.0488079479418825,0.00145153614421734,0.000668618629255783,0.660494384674289
19,"log_TRIG","ZNF442",0.000789127497095254,0.522084206218004,0.0014766628566123,0.00069116998549617,0.236433192680879
1,"log_TRIG","COL24A1",0.000915697325116982,0.301333267798406,0.00195546666877355,0.000692327052829183,0.129463065262073
1,"log_TRIG","RUSC1",0.000898453550605582,0.011230882277271,0.0015218828254624,0.000726985620621865,0.280411653736719
15,"log_TRIG","MTMR10",0.00092938012028787,0.00223569697289742,0.00114415868593809,0.000782275440630592,NA
1,"log_TRIG","ZNF692",0.0009352558582012,0.0665301522105744,0.00105998671048868,0.00094427009440873,0.93531074050666
6,"log_TRIG","SNX14",0.00147632357129512,0.0718083293545547,0.00220936469492716,0.000970700251672666,0.00464182934377967
3,"log_TRIG","TDGF1",0.00129932862589488,0.0427365329438159,0.00156957360490928,0.000999230120457212,0.0261293850233109
12,"log_TRIG","ATF1",0.00168228103754187,0.194655667370358,0.00290713550856248,0.0011314688669019,0.002550697186742
6,"log_TRIG","ARFGEF3",0.00141040128819059,0.643056263948313,0.00306139393495897,0.00130862339973793,0.433964974928352
9,"log_TRIG","TYRP1",0.00127601443162706,0.0264099756497317,0.00219999317273423,0.00133128548129373,0.864668412841363
11,"log_TRIG","CCDC81",0.00166111684497627,0.0631826893728933,0.00320798907279007,0.0013501133279795,0.268150973107569
1,"log_TRIG","TSACC",0.00145447419342082,0.00708698414538081,0.00224709499106568,0.00148181668599412,0.694247252099346
11,"log_TRIG","ANO1",0.00214723369145786,0.1093646863036,0.00438459683531334,0.00160649199276003,0.0227967846554477
12,"log_TRIG","ART4",0.00166470653619299,0.000504241472771103,0.000557336258832475,0.00162009387852331,NA
5,"log_TRIG","PAPD7",0.00214371359466492,0.0169949210994582,0.00287614606349085,0.00167456034367632,0.0182577611381847
13,"log_TRIG","TMTC4",0.00182903747782848,0.000409100777030288,0.000676857180685442,0.00170231437266189,NA
11,"log_TRIG","VPS11",0.00235598934287817,0.104289833676867,0.00388891716958617,0.00174867487220444,0.0591841519214722
